"medcodeid","term","condition"
"3029802015","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"423109014","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"423110016","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"423111017","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"423112012","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"5687751000006119","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"5687781000006110","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"121589010","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"13781000006113","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292621010","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"293756010","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"3690681000006114","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"377001000006117","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616571000006118","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616681000006116","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"772151000006116","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"772161000006119","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"772171000006114","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"77727018","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"787111000006112","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"881441000006111","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913711000006112","Diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12730981000006113","Diabetes mellitus NOS with other specified manifestation (disorder)","Q code group Type 2 diabetes "
"933211000006112","Diabetes mellitus NOS with other specified manifestation (disorder)","Q code group Type 2 diabetes "
"933221000006116","Diabetes mellitus NOS with other specified manifestation (disorder)","Q code group Type 2 diabetes "
"933231000006118","Diabetes mellitus NOS with other specified manifestation (disorder)","Q code group Type 2 diabetes "
"10928019","Diabetes mellitus associated with genetic syndrome (disorder)","Q code group Type 2 diabetes "
"498512013","Diabetes mellitus associated with genetic syndrome (disorder)","Q code group Type 2 diabetes "
"1230929011","Diabetes mellitus associated with pancreatic disease (disorder)","Q code group Type 2 diabetes "
"198461000000116","Diabetes mellitus associated with pancreatic disease (disorder)","Q code group Type 2 diabetes "
"3527174019","Diabetes mellitus caused by chemical (disorder)","Q code group Type 2 diabetes "
"3527175018","Diabetes mellitus caused by chemical (disorder)","Q code group Type 2 diabetes "
"125705011","Diabetes mellitus caused by insulin receptor antibodies (disorder)","Q code group Type 2 diabetes "
"2164134013","Diabetes mellitus caused by insulin receptor antibodies (disorder)","Q code group Type 2 diabetes "
"3291658019","Diabetes mellitus caused by insulin receptor antibodies (disorder)","Q code group Type 2 diabetes "
"3296773014","Diabetes mellitus caused by insulin receptor antibodies (disorder)","Q code group Type 2 diabetes "
"2160090014","Diabetes mellitus caused by non-steroid drugs (disorder)","Q code group Type 2 diabetes "
"6763731000006114","Diabetes mellitus caused by non-steroid drugs (disorder)","Q code group Type 2 diabetes "
"6763741000006116","Diabetes mellitus caused by non-steroid drugs (disorder)","Q code group Type 2 diabetes "
"6763751000006119","Diabetes mellitus caused by non-steroid drugs (disorder)","Q code group Type 2 diabetes "
"6837991000006112","Diabetes mellitus caused by non-steroid drugs without complication (disorder)","Q code group Type 2 diabetes "
"967631000006115","Diabetes mellitus caused by non-steroid drugs without complication (disorder)","Q code group Type 2 diabetes "
"494831000000119","Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder)","Q code group Type 2 diabetes "
"7063141000006118","Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder)","Q code group Type 2 diabetes "
"197761014","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"223291000000111","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"280571000006116","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"3209431000006116","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"3209441000006114","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"493773010","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"493774016","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"73466011","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"84471000006119","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"84841000006113","Diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"7968751000006116","Diabetes mellitus type 2 without retinopathy (disorder)","Q code group Type 2 diabetes "
"12730971000006110","Diabetes mellitus with other specified manifestation (disorder)","Q code group Type 2 diabetes "
"881521000006117","Diabetes mellitus with other specified manifestation (disorder)","Q code group Type 2 diabetes "
"292466013","Diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"292475010","Diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"457327017","Diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"746791000006111","Diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"12718861000006118","Diabetes mellitus, adult onset, with no mention of complication (disorder)","Q code group Type 2 diabetes "
"881451000006113","Diabetes mellitus, adult onset, with no mention of complication (disorder)","Q code group Type 2 diabetes "
"356117013","Diabetes-deafness syndrome maternally transmitted (disorder)","Q code group Type 2 diabetes "
"356118015","Diabetes-deafness syndrome maternally transmitted (disorder)","Q code group Type 2 diabetes "
"616501000006112","Disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6982151000006118","Disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12174801000006114","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12174811000006112","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12704401000006110","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"13771000006110","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"2900941000006117","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"2900951000006115","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292503016","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616421000006118","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"771491000006110","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"881491000006119","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913471000006110","Disorder of eye due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6968641000006111","Disorder of eye due to malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"719481000006116","Disorder of eye due to malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12336871000006115","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12336881000006117","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12702421000006111","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12704961000006118","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12762301000006111","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"587111000006111","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616491000006116","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6983691000006114","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84581000006117","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84951000006118","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914051000006113","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914061000006110","Disorder of eye due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12218501000006114","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12218511000006112","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12703991000006112","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"205225016","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292495016","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292496015","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"293759015","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"354316011","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"4392181000006110","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616461000006112","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"771391000006117","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"771501000006119","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"881481000006117","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913441000006119","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913831000006114","Disorder of kidney due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12336851000006113","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12336861000006110","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12704391000006113","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"13761000006115","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292512019","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616391000006114","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6983511000006117","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6983521000006113","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"771481000006112","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913501000006115","Disorder of nervous system due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6958521000006110","Disorder of nervous system due to malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"719591000006119","Disorder of nervous system due to malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12334131000006118","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12334141000006111","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12702411000006115","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12704971000006113","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"280591000006115","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616481000006119","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6969921000006119","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6969931000006116","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84561000006110","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84931000006113","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914071000006115","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914081000006117","Disorder of nervous system due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"9986011","Drug-induced diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12335671000006113","Exudative maculopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12335681000006111","Exudative maculopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12489851000006117","Exudative maculopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12705011000006116","Exudative maculopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6977971000006119","Exudative maculopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"938321000006116","Exudative maculopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"938331000006118","Exudative maculopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"967681000006119","Fibrocalculous pancreatic diabetes (disorder)","Q code group Type 2 diabetes "
"2474730014","Fibrocalculous pancreatopathy without complication (disorder)","Q code group Type 2 diabetes "
"616351000006115","Gangrene due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616831000006118","Gangrene due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6987011000006115","Gangrene due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"771351000006111","Gangrene due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"881511000006113","Gangrene due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913621000006112","Gangrene due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"281211000006117","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292582011","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292583018","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616561000006113","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6975211000006112","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6975221000006116","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84511000006112","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84881000006119","Gangrene due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12363681000006115","Gastroparesis co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12363691000006117","Gastroparesis co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12705081000006111","Gastroparesis co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"1667921000000117","Gastroparesis co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"299621000000117","Gastroparesis co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"7708071000006119","Gastroparesis co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292480018","Hyperosmolar coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292484010","Hyperosmolar coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292483016","Hyperosmolar coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"4758011000006112","Hyperosmolar coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"1488898011","Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"1667891000000113","Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"850691000006118","Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"356101019","Hyperproinsulinemia (disorder)","Q code group Type 2 diabetes "
"5109741000006111","Hyperproinsulinemia (disorder)","Q code group Type 2 diabetes "
"11927561000006118","Hypoglycemic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"280511000006113","Hypoglycemic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"459167016","Hypoglycemic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"459169018","Hypoglycemic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"7783451000006114","Hypoglycemic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84521000006116","Hypoglycemic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84891000006116","Hypoglycemic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"189701000000116","Insulin autoimmune syndrome (disorder)","Q code group Type 2 diabetes "
"2160089017","Insulin autoimmune syndrome (disorder)","Q code group Type 2 diabetes "
"199471000000118","Insulin resistance - type A (disorder)","Q code group Type 2 diabetes "
"2475901019","Insulin resistance - type A (disorder)","Q code group Type 2 diabetes "
"5110461000006114","Insulin resistance - type A (disorder)","Q code group Type 2 diabetes "
"1223147012","Insulin treated type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"1223148019","Insulin treated type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"5109461000006115","Insulin treated type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"840951000006119","Insulin treated type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"841351000006110","Insulin treated type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914391000006116","Insulin treated type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"356111014","Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)","Q code group Type 2 diabetes "
"356115017","Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)","Q code group Type 2 diabetes "
"5109831000006114","Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)","Q code group Type 2 diabetes "
"5109851000006119","Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)","Q code group Type 2 diabetes "
"2622193012","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292478012","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292479016","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292489017","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6953861000006110","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6953871000006115","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6953891000006119","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6953901000006115","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"881461000006110","Ketoacidosis due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292606016","Ketoacidosis due to malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616531000006116","Ketoacidosis due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6977421000006110","Ketoacidosis due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6977431000006113","Ketoacidosis due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928581000006111","Ketoacidosis due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928591000006114","Ketoacidosis due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"2920961000006110","Ketoacidotic coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"2920971000006115","Ketoacidotic coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"2920981000006117","Ketoacidotic coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616381000006111","Ketoacidotic coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"881471000006115","Ketoacidotic coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12704991000006114","Ketoacidotic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616541000006114","Ketoacidotic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6979251000006110","Ketoacidotic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928601000006118","Ketoacidotic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928611000006115","Ketoacidotic coma due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"4392141000006116","Lipoatrophic diabetes (disorder)","Q code group Type 2 diabetes "
"4392151000006119","Lipoatrophic diabetes (disorder)","Q code group Type 2 diabetes "
"967701000006116","Lipoatrophic diabetes (disorder)","Q code group Type 2 diabetes "
"189711000000119","Lipoatrophic diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"12180761000006118","Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12180771000006113","Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12180781000006111","Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12180791000006114","Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"3128741000006119","Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616921000006113","Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"65526011","Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"1550571000000114","Malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"3728171000006115","Malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"719531000006118","Malnutrition related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"719601000006110","Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder)","Q code group Type 2 diabetes "
"719571000006115","Malnutrition-related diabetes mellitus with renal complications (disorder)","Q code group Type 2 diabetes "
"292612014","Malnutrition-related diabetes mellitus without complications (disorder)","Q code group Type 2 diabetes "
"622221000000118","Maternally inherited diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"2476117016","Maturity onset diabetes of the young, type 1 (disorder)","Q code group Type 2 diabetes "
"7500191000006118","Maturity onset diabetes of the young, type 1 (disorder)","Q code group Type 2 diabetes "
"7500201000006115","Maturity onset diabetes of the young, type 1 (disorder)","Q code group Type 2 diabetes "
"356085010","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"5109561000006119","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"5109581000006112","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"5109591000006110","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"5109611000006116","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"5109621000006112","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"5109631000006110","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"840971000006112","Maturity onset diabetes of the young, type 2 (disorder)","Q code group Type 2 diabetes "
"483882011","Maturity-onset diabetes of the young (disorder)","Q code group Type 2 diabetes "
"483886014","Maturity-onset diabetes of the young (disorder)","Q code group Type 2 diabetes "
"1968641000006114","Maturity-onset diabetes of the young, type 5 (disorder)","Q code group Type 2 diabetes "
"7500341000006113","Maturity-onset diabetes of the young, type 5 (disorder)","Q code group Type 2 diabetes "
"7500351000006110","Maturity-onset diabetes of the young, type 5 (disorder)","Q code group Type 2 diabetes "
"7500361000006112","Maturity-onset diabetes of the young, type 5 (disorder)","Q code group Type 2 diabetes "
"12371131000006119","Mild nonproliferative retinopathy co-occurrent and due to secondary diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"8120431000006115","Mild nonproliferative retinopathy co-occurrent and due to secondary diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12331051000006112","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12331061000006114","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12702401000006118","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"280521000006117","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6954121000006112","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84531000006118","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84901000006117","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914221000006113","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914231000006111","Mononeuropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"396661000006115","Multiple complications due to malnutrition related diabetes (disorder)","Q code group Type 2 diabetes "
"396671000006110","Multiple complications due to malnutrition related diabetes (disorder)","Q code group Type 2 diabetes "
"719471000006119","Multiple complications due to malnutrition related diabetes (disorder)","Q code group Type 2 diabetes "
"719561000006110","Multiple complications due to malnutrition related diabetes (disorder)","Q code group Type 2 diabetes "
